,Date,Org Code,Org name,A&E attendances Type 1,Attendances over 4hrs Type 1,Month,Year
56,2022-04-01,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,10915,5629,04,2022
57,2022-04-01,RWJ,STOCKPORT NHS FOUNDATION TRUST,8927,3612,04,2022
58,2022-04-01,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,11287,5506,04,2022
59,2022-04-01,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,8876,3603,04,2022
60,2022-04-01,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,11958,6267,04,2022
61,2022-04-01,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,8625,3917,04,2022
62,2022-04-01,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,10136,4655,04,2022
63,2022-04-01,R1F,ISLE OF WIGHT NHS TRUST,3258,1224,04,2022
64,2022-04-01,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,5939,2570,04,2022
65,2022-04-01,RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,13286,5809,04,2022
66,2022-04-01,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,8071,4007,04,2022
67,2022-04-01,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,6733,3985,04,2022
68,2022-04-01,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,8961,4690,04,2022
69,2022-04-01,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,7259,3073,04,2022
70,2022-04-01,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,7580,1913,04,2022
71,2022-04-01,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,13698,5802,04,2022
72,2022-04-01,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,2918,1206,04,2022
73,2022-04-01,RJ2,LEWISHAM AND GREENWICH NHS TRUST,13443,4902,04,2022
74,2022-04-01,RJ6,CROYDON HEALTH SERVICES NHS TRUST,12060,4254,04,2022
75,2022-04-01,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,10398,2963,04,2022
76,2022-04-01,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,11229,5941,04,2022
77,2022-04-01,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,9573,5152,04,2022
78,2022-04-01,RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,23766,11372,04,2022
79,2022-04-01,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,10813,4195,04,2022
80,2022-04-01,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,9175,2556,04,2022
81,2022-04-01,RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,8212,3026,04,2022
82,2022-04-01,RNZ,SALISBURY NHS FOUNDATION TRUST,4013,1713,04,2022
83,2022-04-01,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,17552,0,04,2022
84,2022-04-01,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,16903,8425,04,2022
85,2022-04-01,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,11313,5158,04,2022
86,2022-04-01,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,10174,4712,04,2022
87,2022-04-01,RVJ,NORTH BRISTOL NHS TRUST,7633,3427,04,2022
88,2022-04-01,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,9533,2299,04,2022
89,2022-04-01,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,9208,4967,04,2022
90,2022-04-01,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,6214,3040,04,2022
91,2022-04-01,RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,10196,5061,04,2022
92,2022-04-01,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,11768,0,04,2022
93,2022-04-01,RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,18106,9455,04,2022
94,2022-04-01,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,28167,9861,04,2022
95,2022-04-01,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,5527,2682,04,2022
96,2022-04-01,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,13316,0,04,2022
97,2022-04-01,RCF,AIREDALE NHS FOUNDATION TRUST,5641,2452,04,2022
98,2022-04-01,RH5,SOMERSET NHS FOUNDATION TRUST,6354,3004,04,2022
99,2022-04-01,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,8629,4269,04,2022
100,2022-04-01,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,13016,3634,04,2022
101,2022-04-01,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,11262,3524,04,2022
102,2022-04-01,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,15634,3637,04,2022
103,2022-04-01,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,17533,0,04,2022
104,2022-04-01,R1H,BARTS HEALTH NHS TRUST,22967,9123,04,2022
105,2022-04-01,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,10034,2980,04,2022
106,2022-04-01,RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,7583,0,04,2022
107,2022-04-01,RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,7843,3485,04,2022
108,2022-04-01,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,8341,3739,04,2022
109,2022-04-01,RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,6923,2914,04,2022
110,2022-04-01,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",6614,2601,04,2022
111,2022-04-01,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,5030,2174,04,2022
112,2022-04-01,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,8324,0,04,2022
113,2022-04-01,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,27805,13552,04,2022
114,2022-04-01,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,11904,4888,04,2022
115,2022-04-01,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,10943,3537,04,2022
116,2022-04-01,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,14578,0,04,2022
117,2022-04-01,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,10716,4233,04,2022
118,2022-04-01,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,20942,8447,04,2022
119,2022-04-01,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,7908,3750,04,2022
120,2022-04-01,REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,16656,8204,04,2022
121,2022-04-01,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,16762,6437,04,2022
122,2022-04-01,RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,11125,4593,04,2022
123,2018-08-01,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6647,51,08,2018
124,2018-08-01,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,6538,178,08,2018
125,2018-08-01,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,4373,5,08,2018
126,2018-08-01,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,12395,152,08,2018
127,2018-08-01,RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,3663,0,08,2018
128,2018-08-01,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,18378,663,08,2018
129,2018-08-01,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,6559,890,08,2018
130,2018-08-01,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,5007,18,08,2018
131,2018-08-01,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,8536,113,08,2018
132,2018-08-01,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,7358,399,08,2018
133,2018-08-01,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,10965,137,08,2018
134,2018-08-01,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,12181,45,08,2018
135,2018-08-01,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,11090,178,08,2018
136,2018-08-01,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,11123,417,08,2018
137,2018-08-01,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,8788,96,08,2018
138,2018-08-01,RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,3363,0,08,2018
139,2018-08-01,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,5921,95,08,2018
140,2018-08-01,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,7842,114,08,2018
141,2018-08-01,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,16021,727,08,2018
142,2018-08-01,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,8043,148,08,2018
143,2018-08-01,RHU,PORTSMOUTH HOSPITALS NHS TRUST,9921,574,08,2018
144,2018-08-01,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,6788,437,08,2018
145,2018-08-01,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,7502,72,08,2018
146,2018-08-01,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,6068,385,08,2018
147,2018-08-01,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,4601,203,08,2018
148,2018-08-01,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,18073,1193,08,2018
149,2018-08-01,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,13043,1082,08,2018
150,2018-08-01,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,16852,620,08,2018
151,2018-08-01,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,8360,355,08,2018
152,2018-08-01,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,9285,913,08,2018
153,2018-08-01,RLQ,WYE VALLEY NHS TRUST,5004,246,08,2018
154,2018-08-01,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,12383,1052,08,2018
155,2018-08-01,RPA,MEDWAY NHS FOUNDATION TRUST,7566,992,08,2018
156,2018-08-01,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,9372,683,08,2018
157,2018-08-01,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,6457,54,08,2018
158,2018-08-01,RN7,DARTFORD AND GRAVESHAM NHS TRUST,8538,142,08,2018
159,2018-08-01,RC1,BEDFORD HOSPITAL NHS TRUST,6290,65,08,2018
160,2018-08-01,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,5528,0,08,2018
161,2018-08-01,RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,6807,80,08,2018
162,2018-08-01,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,11268,225,08,2018
163,2018-08-01,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,15000,236,08,2018
164,2018-08-01,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,10832,207,08,2018
165,2018-08-01,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,6242,498,08,2018
166,2018-08-01,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,11456,454,08,2018
167,2018-08-01,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,6603,394,08,2018
168,2018-08-01,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,9826,194,08,2018
169,2018-08-01,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,9662,88,08,2018
170,2018-08-01,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",6948,211,08,2018
171,2018-08-01,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,12709,321,08,2018
172,2018-08-01,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,19925,567,08,2018
173,2018-08-01,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,10358,1276,08,2018
174,2018-08-01,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,5084,143,08,2018
175,2018-08-01,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,7576,334,08,2018
176,2018-08-01,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,13242,273,08,2018
177,2018-08-01,RJ2,LEWISHAM AND GREENWICH NHS TRUST,11960,401,08,2018
178,2018-08-01,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,8938,1,08,2018
179,2018-08-01,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,8488,123,08,2018
180,2018-08-01,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",6051,418,08,2018
181,2018-08-01,RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,3873,0,08,2018
182,2018-08-01,RYR,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,12361,46,08,2018
183,2018-08-01,RBK,WALSALL HEALTHCARE NHS TRUST,6074,343,08,2018
184,2018-08-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,7719,342,08,2018
185,2018-08-01,RJN,EAST CHESHIRE NHS TRUST,3851,120,08,2018
186,2018-08-01,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,15338,486,08,2018
187,2018-08-01,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,7527,517,08,2018
188,2018-08-01,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,7679,132,08,2018
189,2018-08-01,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,7495,99,08,2018
190,2018-08-01,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,6424,812,08,2018
191,2018-08-01,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,3565,67,08,2018
192,2018-08-01,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,7880,250,08,2018
193,2018-08-01,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,11859,584,08,2018
194,2018-08-01,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,12819,154,08,2018
195,2018-08-01,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,6945,35,08,2018
196,2018-08-01,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,7532,53,08,2018
197,2018-08-01,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,12596,100,08,2018
198,2018-08-01,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,12311,149,08,2018
199,2018-08-01,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,19432,117,08,2018
200,2018-08-01,RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,8502,198,08,2018
201,2018-08-01,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,16715,50,08,2018
202,2018-08-01,RJ6,CROYDON HEALTH SERVICES NHS TRUST,6093,587,08,2018
203,2018-08-01,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,8925,43,08,2018
204,2018-08-01,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,7850,205,08,2018
205,2018-08-01,RNZ,SALISBURY NHS FOUNDATION TRUST,3945,113,08,2018
206,2018-08-01,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,7555,426,08,2018
207,2018-08-01,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,5992,5,08,2018
208,2018-08-01,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",15473,79,08,2018
209,2018-08-01,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,8235,136,08,2018
210,2018-08-01,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,14781,648,08,2018
211,2018-08-01,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,5691,15,08,2018
212,2018-08-01,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,7843,189,08,2018
213,2018-08-01,RWJ,STOCKPORT NHS FOUNDATION TRUST,7247,619,08,2018
214,2018-08-01,RCF,AIREDALE NHS FOUNDATION TRUST,4968,62,08,2018
215,2018-08-01,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,6297,516,08,2018
216,2018-08-01,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,6904,19,08,2018
217,2018-08-01,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,11972,221,08,2018
218,2018-08-01,RVJ,NORTH BRISTOL NHS TRUST,7690,358,08,2018
219,2018-08-01,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,8603,0,08,2018
220,2018-08-01,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,15569,94,08,2018
221,2018-08-01,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,8288,187,08,2018
222,2018-08-01,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,7030,47,08,2018
223,2018-08-01,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,9087,459,08,2018
224,2018-08-01,RA3,WESTON AREA HEALTH NHS TRUST,4417,0,08,2018
225,2018-08-01,RBN,ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST,9307,94,08,2018
226,2018-08-01,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,5961,69,08,2018
227,2018-08-01,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,8850,70,08,2018
228,2018-08-01,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,10007,58,08,2018
229,2018-08-01,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,10587,438,08,2018
230,2018-08-01,R1F,ISLE OF WIGHT NHS TRUST,4285,536,08,2018
231,2018-08-01,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,9501,571,08,2018
232,2018-08-01,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,8373,184,08,2018
233,2018-08-01,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,11221,196,08,2018
234,2018-08-01,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,8748,149,08,2018
235,2018-08-01,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,29102,2043,08,2018
236,2018-08-01,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,15994,169,08,2018
237,2018-08-01,RKE,WHITTINGTON HEALTH NHS TRUST,8159,226,08,2018
238,2018-08-01,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,6818,138,08,2018
239,2018-08-01,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,8014,288,08,2018
240,2018-08-01,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,10799,226,08,2018
241,2018-08-01,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,6266,601,08,2018
242,2018-08-01,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,7590,406,08,2018
243,2018-08-01,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,5583,2,08,2018
244,2018-08-01,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,21419,430,08,2018
245,2018-08-01,RMC,BOLTON NHS FOUNDATION TRUST,8635,161,08,2018
246,2018-08-01,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,11737,20,08,2018
247,2018-08-01,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,10315,446,08,2018
248,2018-08-01,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,4439,2,08,2018
249,2018-08-01,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,7630,13,08,2018
250,2018-08-01,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,9328,35,08,2018
